method	a_halleri	a_thaliana	c_grandiflora	n_a_halleri	n_a_thaliana	n_c_grandiflora	note
M0 per-species (dS-filtered)	0.1571	0.1590	0.1576	367	367	366	one omega tree-wide; the constrained baseline
2-ratio per-gene pooled -- BUSCOmega	0.1626	0.1699	0.1509	368	368	306	model=2, focal species foreground, count-pooled
free-ratio per-gene pooled	0.1629	0.1670	0.1532	366	368	328	model=1 per gene, focal terminal branch pooled
free-ratio concatenate (eLife-style, NOT pre-filtered)	0.2010	0.1710	0.1597	369	369	369	model=1 once on the concatenate; no per-gene filter
